amfi_code,alpha_annual_pct,beta,r_squared,observations,scheme_name
119598,30.34,-0.023,0.0,1149,SBI Small Cap Fund - Regular Plan - Growth
149324,30.06,0.011,0.0,1149,DSP Small Cap Fund - Regular - Growth
120505,29.26,0.001,0.0,1149,ICICI Pru Midcap Fund - Regular - Growth
148569,28.27,0.018,0.0,1149,Mirae Asset Tax Saver Fund - Regular - Growth
120843,27.33,-0.023,0.0,1149,Kotak Flexicap Fund - Regular - Growth
100033,27.2,0.005,0.0,1149,HDFC Mid-Cap Opportunities Fund - Regular - Growth
148567,26.98,0.024,0.0,1149,Mirae Asset Large Cap Fund - Regular - Growth
149323,26.6,-0.003,0.0,1149,DSP Midcap Fund - Regular - Growth
119094,26.08,-0.066,0.002,1149,Axis Midcap Fund - Regular - Growth
119551,23.2,-0.032,0.001,1149,SBI Bluechip Fund - Regular Plan - Growth
118632,21.83,-0.008,0.0,1149,Nippon India Large Cap Fund - Regular - Growth
101206,21.4,0.021,0.0,1149,ABSL Frontline Equity Fund - Regular - Growth
120504,21.19,0.016,0.0,1149,ICICI Pru Bluechip Fund - Direct - Growth
148568,20.87,-0.026,0.0,1149,Mirae Asset Emerging Bluechip Fund - Regular - Growth
119552,19.87,-0.026,0.001,1149,SBI Bluechip Fund - Direct Plan - Growth
125497,17.73,0.049,0.002,1149,HDFC Top 100 Fund - Direct Plan - Growth
120503,17.7,-0.04,0.001,1149,ICICI Pru Bluechip Fund - Regular - Growth
118634,17.5,0.103,0.003,1149,Nippon India Small Cap Fund - Regular - Growth
102885,17.05,-0.019,0.0,1149,UTI Nifty 50 Index Fund - Regular - Growth
120506,16.25,0.042,0.001,1149,ICICI Pru Value Discovery Fund - Regular - Growth
102887,16.21,0.017,0.0,1149,UTI Flexi Cap Fund - Regular - Growth
118633,15.64,-0.037,0.001,1149,Nippon India Large Cap Fund - Direct - Growth
118635,15.14,-0.001,0.0,1149,Nippon India ETF Nifty 50 BeES
149322,13.17,-0.004,0.0,1149,DSP Top 100 Equity Fund - Regular - Growth
120841,13.04,0.036,0.001,1149,Kotak Bluechip Fund - Regular - Growth
125498,11.99,0.009,0.0,1149,HDFC Mid-Cap Opportunities Fund - Direct - Growth
101207,10.9,-0.065,0.001,1149,ABSL Small Cap Fund - Regular - Growth
119093,8.23,0.026,0.001,1149,Axis Bluechip Fund - Direct - Growth
120842,7.8,0.018,0.0,1149,Kotak Emerging Equity Fund - Regular - Growth
119092,6.9,0.01,0.0,1149,Axis Bluechip Fund - Regular - Growth
120507,6.75,-0.0,0.0,1149,ICICI Pru Liquid Fund - Regular - Growth
120844,6.46,-0.0,0.0,1149,Kotak Liquid Fund - Regular - Growth
101208,6.09,0.0,0.0,1149,ABSL Liquid Fund - Regular - Growth
119120,5.62,-0.006,0.0,1149,SBI Magnum Gilt Fund - Regular Plan - Growth
118636,5.07,0.001,0.0,1149,Nippon India Gilt Securities Fund - Regular - Growth
119599,4.88,0.062,0.001,1149,SBI Small Cap Fund - Direct Plan - Growth
119095,4.8,-0.067,0.001,1149,Axis Small Cap Fund - Regular - Growth
100025,4.28,0.001,0.0,1149,HDFC Short Term Debt Fund - Regular - Growth
100016,3.75,-0.058,0.003,1149,HDFC Top 100 Fund - Regular Plan - Growth
102886,2.9,-0.042,0.001,1149,UTI Mid Cap Fund - Regular - Growth
