overall_rank,amfi_code,scheme_name,cagr_3yr_pct,sharpe_ratio,alpha_annual_pct,expense_ratio_pct,max_drawdown_pct,return_score,sharpe_score,alpha_score,expense_score,drawdown_score,fund_score
1,120505,ICICI Pru Midcap Fund - Regular - Growth,31.77,1.191,29.26,1.36,-18.19,90.0,90.0,95.0,65.0,62.5,84.5
2,119094,Axis Midcap Fund - Regular - Growth,35.1,1.009,26.08,1.38,-20.96,100.0,75.0,80.0,60.0,70.0,80.75
3,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,32.43,1.104,27.2,1.38,-16.22,92.5,85.0,87.5,60.0,50.0,80.5
4,148567,Mirae Asset Large Cap Fund - Regular - Growth,33.99,1.463,26.98,1.46,-11.27,97.5,100.0,85.0,45.0,20.0,80.0
5,120843,Kotak Flexicap Fund - Regular - Growth,29.58,1.319,27.33,1.45,-12.97,85.0,97.5,90.0,47.5,32.5,78.25
6,120504,ICICI Pru Bluechip Fund - Direct - Growth,32.48,1.041,21.19,0.8,-12.59,95.0,78.75,70.0,72.5,30.0,76.06
7,119598,SBI Small Cap Fund - Regular Plan - Growth,26.66,0.953,30.34,1.43,-28.71,72.5,67.5,100.0,50.0,90.0,75.12
8,149324,DSP Small Cap Fund - Regular - Growth,26.99,0.958,30.06,1.52,-31.17,77.5,70.0,97.5,36.25,92.5,74.94
9,148569,Mirae Asset Tax Saver Fund - Regular - Growth,29.17,1.246,28.27,1.6,-16.4,82.5,95.0,92.5,11.25,52.5,73.94
10,119551,SBI Bluechip Fund - Regular Plan - Growth,30.45,1.223,23.2,1.54,-15.01,87.5,92.5,77.5,26.25,42.5,73.06
11,118632,Nippon India Large Cap Fund - Regular - Growth,22.65,1.096,21.83,1.51,-17.41,67.5,82.5,75.0,41.25,57.49999999999999,67.81
12,149323,DSP Midcap Fund - Regular - Growth,26.86,1.143,26.6,1.61,-17.25,75.0,87.5,82.5,7.5,55.00000000000001,67.5
13,101206,ABSL Frontline Equity Fund - Regular - Growth,28.96,1.041,21.4,1.6,-11.29,80.0,78.75,72.5,11.25,22.5,62.12
14,119552,SBI Bluechip Fund - Direct Plan - Growth,16.26,0.968,19.87,0.66,-11.8,45.0,72.5,65.0,92.5,27.500000000000004,61.25
15,118633,Nippon India Large Cap Fund - Direct - Growth,21.08,0.66,15.64,0.72,-18.63,65.0,47.5,47.5,88.75,65.0,60.69
16,125497,HDFC Top 100 Fund - Direct Plan - Growth,18.43,0.79,17.73,0.92,-15.2,55.00000000000001,55.00000000000001,62.5,67.5,45.0,57.38
17,120506,ICICI Pru Value Discovery Fund - Regular - Growth,18.42,0.662,16.25,1.41,-19.83,52.5,50.0,52.5,55.00000000000001,67.5,53.75
18,118635,Nippon India ETF Nifty 50 BeES,20.0,0.68,15.14,0.89,-11.65,60.0,52.5,45.0,70.0,25.0,53.12
19,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.74,0.939,20.87,1.52,-15.27,42.5,65.0,67.5,36.25,47.5,52.69
20,119093,Axis Bluechip Fund - Direct - Growth,20.81,0.144,8.23,0.75,-21.75,62.5,27.500000000000004,32.5,82.5,77.5,52.25
21,102887,UTI Flexi Cap Fund - Regular - Growth,25.55,0.632,16.21,1.64,-21.54,70.0,45.0,50.0,3.75,75.0,50.31
22,120503,ICICI Pru Bluechip Fund - Regular - Growth,13.97,0.813,17.7,1.42,-13.9,40.0,57.49999999999999,60.0,52.5,35.0,49.75
23,102885,UTI Nifty 50 Index Fund - Regular - Growth,19.66,0.833,17.05,1.57,-10.86,57.49999999999999,60.0,55.00000000000001,17.5,17.5,47.62
24,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,11.24,0.312,11.99,0.78,-21.12,37.5,35.0,37.5,77.5,72.5,46.38
25,118634,Nippon India Small Cap Fund - Regular - Growth,8.01,0.456,17.5,1.53,-23.34,35.0,37.5,57.49999999999999,31.25,80.0,44.06
26,120507,ICICI Pru Liquid Fund - Regular - Growth,7.39,0.904,6.75,0.74,-0.1,30.0,62.5,25.0,85.0,2.5,42.62
27,149322,DSP Top 100 Equity Fund - Regular - Growth,18.04,0.478,13.17,1.54,-14.84,50.0,40.0,42.5,26.25,40.0,41.44
28,120841,Kotak Bluechip Fund - Regular - Growth,17.26,0.509,13.04,1.59,-17.57,47.5,42.5,40.0,15.0,60.0,41.12
29,120844,Kotak Liquid Fund - Regular - Growth,6.69,0.304,6.46,0.6,-0.12,27.500000000000004,32.5,22.5,95.0,5.0,35.62
30,120842,Kotak Emerging Equity Fund - Regular - Growth,7.75,0.087,7.8,1.56,-24.0,32.5,25.0,30.0,20.0,82.5,33.25
31,119599,SBI Small Cap Fund - Direct Plan - Growth,-1.34,-0.049,4.88,0.72,-52.57,7.5,20.0,12.5,88.75,100.0,33.06
32,101207,ABSL Small Cap Fund - Regular - Growth,-4.15,0.17,10.9,1.53,-35.45,5.0,30.0,35.0,31.25,95.0,30.19
33,118636,Nippon India Gilt Securities Fund - Regular - Growth,4.06,-0.306,5.07,0.55,-8.32,20.0,7.5,15.0,100.0,15.0,27.38
34,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,5.84,-0.176,5.62,0.77,-4.33,22.5,15.0,17.5,80.0,12.5,27.25
35,119095,Axis Small Cap Fund - Regular - Growth,-11.7,-0.068,4.8,1.38,-51.68,2.5,17.5,10.0,60.0,97.5,25.88
