amfi_code,sharpe_ratio,annualized_return_pct,annualized_volatility_pct,scheme_name,sharpe_rank
148567,1.463,27.06,14.19,Mirae Asset Large Cap Fund - Regular - Growth,1
120843,1.319,27.26,15.89,Kotak Flexicap Fund - Regular - Growth,2
148569,1.246,28.33,17.67,Mirae Asset Tax Saver Fund - Regular - Growth,3
119551,1.223,23.1,13.74,SBI Bluechip Fund - Regular Plan - Growth,4
120505,1.191,29.27,19.29,ICICI Pru Midcap Fund - Regular - Growth,5
149323,1.143,26.59,17.75,DSP Midcap Fund - Regular - Growth,6
100033,1.104,27.21,18.94,HDFC Mid-Cap Opportunities Fund - Regular - Growth,7
118632,1.096,21.8,14.15,Nippon India Large Cap Fund - Regular - Growth,8
101206,1.041,21.46,14.57,ABSL Frontline Equity Fund - Regular - Growth,9
120504,1.041,21.24,14.36,ICICI Pru Bluechip Fund - Direct - Growth,10
119094,1.009,25.87,19.41,Axis Midcap Fund - Regular - Growth,11
119552,0.968,19.79,13.94,SBI Bluechip Fund - Direct Plan - Growth,12
149324,0.958,30.09,24.84,DSP Small Cap Fund - Regular - Growth,13
119598,0.953,30.27,25.14,SBI Small Cap Fund - Regular Plan - Growth,14
148568,0.939,20.79,15.43,Mirae Asset Emerging Bluechip Fund - Regular - Growth,15
120507,0.904,6.74,0.49,ICICI Pru Liquid Fund - Regular - Growth,16
102885,0.833,16.99,12.84,UTI Nifty 50 Index Fund - Regular - Growth,17
120503,0.813,17.58,13.88,ICICI Pru Bluechip Fund - Regular - Growth,18
125497,0.79,17.88,14.67,HDFC Top 100 Fund - Direct Plan - Growth,19
118635,0.68,15.13,12.98,Nippon India ETF Nifty 50 BeES,20
120506,0.662,16.38,15.23,ICICI Pru Value Discovery Fund - Regular - Growth,21
118633,0.66,15.53,14.0,Nippon India Large Cap Fund - Direct - Growth,22
102887,0.632,16.26,15.76,UTI Flexi Cap Fund - Regular - Growth,23
120841,0.509,13.15,13.46,Kotak Bluechip Fund - Regular - Growth,24
149322,0.478,13.16,14.35,DSP Top 100 Equity Fund - Regular - Growth,25
118634,0.456,17.82,25.24,Nippon India Small Cap Fund - Regular - Growth,26
125498,0.312,12.02,18.35,HDFC Mid-Cap Opportunities Fund - Direct - Growth,27
120844,0.304,6.45,0.51,Kotak Liquid Fund - Regular - Growth,28
101207,0.17,10.7,25.8,ABSL Small Cap Fund - Regular - Growth,29
119093,0.144,8.31,13.98,Axis Bluechip Fund - Direct - Growth,30
120842,0.087,7.86,17.89,Kotak Emerging Equity Fund - Regular - Growth,31
119092,0.045,6.93,13.95,Axis Bluechip Fund - Regular - Growth,32
119599,-0.049,5.07,24.95,SBI Small Cap Fund - Direct Plan - Growth,33
119095,-0.068,4.6,25.07,Axis Small Cap Fund - Regular - Growth,34
119120,-0.176,5.6,3.97,SBI Magnum Gilt Fund - Regular Plan - Growth,35
100016,-0.188,3.57,14.55,HDFC Top 100 Fund - Regular Plan - Growth,36
102886,-0.195,2.77,18.13,UTI Mid Cap Fund - Regular - Growth,37
118636,-0.306,5.08,3.99,Nippon India Gilt Securities Fund - Regular - Growth,38
101208,-0.417,6.09,0.51,ABSL Liquid Fund - Regular - Growth,39
100025,-0.515,4.29,3.91,HDFC Short Term Debt Fund - Regular - Growth,40
