amfi_code,sortino_ratio,downside_deviation_pct,negative_days,scheme_name,sortino_rank
148567,1.478,14.05,518,Mirae Asset Large Cap Fund - Regular - Growth,1
120843,1.396,15.01,540,Kotak Flexicap Fund - Regular - Growth,2
148569,1.315,16.75,554,Mirae Asset Tax Saver Fund - Regular - Growth,3
119551,1.278,13.15,540,SBI Bluechip Fund - Regular Plan - Growth,4
120505,1.25,18.37,554,ICICI Pru Midcap Fund - Regular - Growth,5
149323,1.147,17.69,531,DSP Midcap Fund - Regular - Growth,6
100033,1.134,18.45,543,HDFC Mid-Cap Opportunities Fund - Regular - Growth,7
118632,1.121,13.84,540,Nippon India Large Cap Fund - Regular - Growth,8
101206,1.085,13.98,550,ABSL Frontline Equity Fund - Regular - Growth,9
119094,1.061,18.45,559,Axis Midcap Fund - Regular - Growth,10
120504,1.06,14.1,530,ICICI Pru Bluechip Fund - Direct - Growth,11
149324,0.996,23.89,555,DSP Small Cap Fund - Regular - Growth,12
119598,0.995,24.08,556,SBI Small Cap Fund - Regular Plan - Growth,13
119552,0.993,13.58,545,SBI Bluechip Fund - Direct Plan - Growth,14
148568,0.968,14.98,548,Mirae Asset Emerging Bluechip Fund - Regular - Growth,15
120507,0.917,0.49,539,ICICI Pru Liquid Fund - Regular - Growth,16
102885,0.858,12.46,552,UTI Nifty 50 Index Fund - Regular - Growth,17
120503,0.835,13.52,557,ICICI Pru Bluechip Fund - Regular - Growth,18
125497,0.82,14.12,565,HDFC Top 100 Fund - Direct Plan - Growth,19
118635,0.7,12.63,562,Nippon India ETF Nifty 50 BeES,20
118633,0.697,13.25,569,Nippon India Large Cap Fund - Direct - Growth,21
120506,0.675,14.93,555,ICICI Pru Value Discovery Fund - Regular - Growth,22
102887,0.661,15.08,569,UTI Flexi Cap Fund - Regular - Growth,23
120841,0.516,13.28,556,Kotak Bluechip Fund - Regular - Growth,24
149322,0.482,14.23,561,DSP Top 100 Equity Fund - Regular - Growth,25
118634,0.459,25.09,558,Nippon India Small Cap Fund - Regular - Growth,26
125498,0.31,18.42,557,HDFC Mid-Cap Opportunities Fund - Direct - Growth,27
120844,0.306,0.51,562,Kotak Liquid Fund - Regular - Growth,28
101207,0.174,25.34,579,ABSL Small Cap Fund - Regular - Growth,29
119093,0.143,14.04,562,Axis Bluechip Fund - Direct - Growth,30
120842,0.086,18.22,559,Kotak Emerging Equity Fund - Regular - Growth,31
119092,0.046,13.83,574,Axis Bluechip Fund - Regular - Growth,32
119599,-0.049,25.18,572,SBI Small Cap Fund - Direct Plan - Growth,33
119095,-0.068,24.92,579,Axis Small Cap Fund - Regular - Growth,34
119120,-0.177,3.95,585,SBI Magnum Gilt Fund - Regular Plan - Growth,35
102886,-0.191,18.51,567,UTI Mid Cap Fund - Regular - Growth,36
100016,-0.192,14.25,590,HDFC Top 100 Fund - Regular Plan - Growth,37
118636,-0.305,3.99,586,Nippon India Gilt Securities Fund - Regular - Growth,38
101208,-0.407,0.52,577,ABSL Liquid Fund - Regular - Growth,39
100025,-0.516,3.9,603,HDFC Short Term Debt Fund - Regular - Growth,40
