amfi_code,scheme_name,benchmark,tracking_error_pct
120505,ICICI Pru Midcap Fund - Regular - Growth,NIFTY50,22.84
120505,ICICI Pru Midcap Fund - Regular - Growth,NIFTY100,23.27
119094,Axis Midcap Fund - Regular - Growth,NIFTY50,23.88
119094,Axis Midcap Fund - Regular - Growth,NIFTY100,23.98
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,NIFTY50,22.82
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,NIFTY100,22.5
148567,Mirae Asset Large Cap Fund - Regular - Growth,NIFTY50,19.19
148567,Mirae Asset Large Cap Fund - Regular - Growth,NIFTY100,18.8
120843,Kotak Flexicap Fund - Regular - Growth,NIFTY50,20.51
120843,Kotak Flexicap Fund - Regular - Growth,NIFTY100,20.65
